variable_original,puntuacion_media,puntuacion_max,targets_2_metodos,targets_3_metodos,targets_puntuacion_090,targets_puntuacion_095
HALLNDAYYR,0.7218122181221812,0.7416974169741698,0,0,0,0
CRKYLU,0.6945469454694547,0.7410824108241082,0,0,0,0
ASTHMAEVR2,0.5667281672816727,0.7363673636736366,0,0,0,0
MJONLYYR2,0.5588355883558835,0.7355473554735547,0,0,0,0
FUHALLUC18,0.6579540795407953,0.7339073390733907,0,0,0,0
TQSDNMFLAG,0.6749692496924969,0.7334973349733498,0,0,0,0
UD5TRQSDGRP,0.6182349323493235,0.7334973349733498,0,0,0,0
TOBMON,0.6520090200902009,0.7330873308733089,0,0,0,0
ASTHMANOW,0.5658056580565806,0.7318573185731857,0,0,0,0
SEDANYYR,0.5968634686346863,0.7306273062730627,0,0,0,0
CADRKMARJ2,0.5889708897088971,0.7285772857728577,0,0,0,0
HPALCTX2,0.486059860598606,0.7285772857728577,0,0,0,0
PNRANYYR2,0.6984419844198442,0.7273472734727346,0,0,0,0
ILLORALC,0.48964739647396477,0.7252972529725298,0,0,0,0
HALLUCYR,0.6351988519885199,0.7220172201722018,0,0,0,0
HPUSEALC,0.4820110701107011,0.7211972119721196,0,0,0,0
HPALCCUT2,0.46607216072160723,0.7199671996719967,0,0,0,0
HLCNOTYR,0.6156211562115621,0.7191471914719147,0,0,0,0
PNRMAINRSN,0.619721197211972,0.7191471914719147,0,0,0,0
ECSTMOMLU,0.6624641246412464,0.7177121771217712,0,0,0,0
HPALCAMT2,0.4642783927839278,0.7162771627716277,0,0,0,0
HPALCFRQ2,0.4442906929069291,0.7138171381713817,0,0,0,0
ALCYDAYS,0.4690446904469045,0.7117671176711767,0,0,0,0
WRK35WKUS,0.5357216072160722,0.7117671176711767,0,0,0,0
STMNMFLAG,0.5536080360803608,0.7097170971709718,0,0,0,0
FUCGR21,0.6042435424354243,0.7093070930709308,0,0,0,0
HPALCPRB2,0.46330463304633046,0.7088970889708897,0,0,0,0
IRWRKSTAT18,0.6306888068880689,0.7072570725707257,0,0,0,0
SEVYROPPRANY,0.5653956539565396,0.7068470684706848,0,0,0,0
METHNDAYYR,0.5287002870028701,0.7035670356703566,0,0,0,0
DRVINALCO,0.486469864698647,0.7027470274702748,0,0,0,0
BKROB,0.4906211562115621,0.7027470274702746,0,0,0,0
HPUSETOB,0.5142988929889298,0.7023370233702337,0,0,0,0
WRKSELFEM,0.514350143501435,0.7023370233702337,0,0,0,0
SEVYRPNRANY2,0.5829233292332923,0.6994669946699467,0,0,0,0
FULSD21,0.6515990159901599,0.6990569905699058,0,0,0,0
UD5OPIGRP,0.5857933579335793,0.6982369823698238,0,0,0,0
ALCYRBFR,0.4457769577695777,0.6974169741697418,0,0,0,0
IRSYNMRJREC,0.6517015170151701,0.6974169741697417,0,0,0,0
SRCPNRNM2,0.6149036490364904,0.6961869618696187,0,0,0,0
IRIMFREC,0.5048175481754817,0.6937269372693726,0,0,0,0
MJDABMON,0.605781057810578,0.6929069290692906,0,0,0,0
