target,modelo,fold,fit_time_s,roc_auc,average_precision,recall,precision,f1,balanced_accuracy,specificity,accuracy,roc_auc_train,average_precision_train,recall_train,precision_train,f1_train,balanced_accuracy_train,specificity_train,accuracy_train
IRSUICTHNK,XGBoost,5,0.654059886932373,0.8130106825533848,0.27593431209772445,0.7051509769094139,0.21072186836518048,0.32447895382100533,0.7464218619555636,0.7876927470017133,0.7815514735033698,0.877614755121356,0.488021171288556,0.7902439024390244,0.2433428922572716,0.37210273543537276,0.7962355608136872,0.8022272191883499,0.8013345665961945
IRSUIPLANYR,Modelo de referencia,1,0.24088239669799805,0.5,0.024973572938689216,0.0,0.0,0.0,0.5,1.0,0.9750264270613108,0.5,0.024908328102804665,0.0,0.0,0.0,0.5,1.0,0.9750916718971954
IRSUIPLANYR,Modelo de referencia,2,0.24277377128601074,0.5,0.024973572938689216,0.0,0.0,0.0,0.5,1.0,0.9750264270613108,0.5,0.024908328102804665,0.0,0.0,0.0,0.5,1.0,0.9750916718971954
IRSUIPLANYR,Modelo de referencia,3,0.23588061332702637,0.5,0.024973572938689216,0.0,0.0,0.0,0.5,1.0,0.9750264270613108,0.5,0.024908328102804665,0.0,0.0,0.0,0.5,1.0,0.9750916718971954
IRSUIPLANYR,Modelo de referencia,4,0.253462553024292,0.5,0.024841437632135307,0.0,0.0,0.0,0.5,1.0,0.9751585623678647,0.5,0.024941363020712894,0.0,0.0,0.0,0.5,1.0,0.9750586369792871
IRSUIPLANYR,Modelo de referencia,5,0.24991202354431152,0.5,0.024844720496894408,0.0,0.0,0.0,0.5,1.0,0.9751552795031055,0.5,0.02494053911205074,0.0,0.0,0.0,0.5,1.0,0.9750594608879493
IRSUIPLANYR,Regresión Logística,1,1.3592050075531006,0.8558106050991265,0.1593605819654005,0.7936507936507936,0.08891523414344991,0.15991471215351813,0.7926784934509559,0.791706193251118,0.7917547568710359,0.8677443579022798,0.16137265916907748,0.7944297082228117,0.09248108692295816,0.16567556354584428,0.7976451146392373,0.8008605210556629,0.8007003402596544
IRSUIPLANYR,Regresión Logística,2,1.4610800743103027,0.8250028143645165,0.13325071735693314,0.7195767195767195,0.08645899554990465,0.1543700340522134,0.7624174423198681,0.8052581650630166,0.8031183932346723,0.8710262188520772,0.16754267754310653,0.8076923076923077,0.09551442910915935,0.1708274894810659,0.8061566867593903,0.8046210658264729,0.8046975653265501
IRSUIPLANYR,Regresión Logística,3,1.3899285793304443,0.8161391794675438,0.14356813787218325,0.708994708994709,0.08551372048500319,0.15261958997722094,0.7573974764651008,0.8058002439354927,0.8033826638477801,0.8744725536486684,0.16720215548679176,0.7944297082228117,0.09548860194484297,0.17048527109719652,0.8011007503745762,0.8077717925263408,0.8074394635129332
IRSUIPLANYR,Regresión Logística,4,1.338085651397705,0.7913985469641931,0.11625837318187501,0.6542553191489362,0.08167330677290836,0.14521841794569068,0.7334284725825981,0.8126016260162602,0.8086680761099366,0.8808690583354051,0.1682377025434443,0.8225165562913908,0.0994077157035377,0.17737789203084833,0.8159540363785183,0.8093915164656458,0.809718872848601
IRSUIPLANYR,Regresión Logística,5,1.4438958168029785,0.8392728934613177,0.14741477048673265,0.7287234042553191,0.08731676226896112,0.15594763801935116,0.7673295839544654,0.8059357636536116,0.8040174441654553,0.8712222634301885,0.16058616414902427,0.8,0.09471538340912655,0.1693774537296691,0.8022088965680794,0.8044177931361588,0.8043076109936576
IRSUIPLANYR,Árbol de Decisión,1,0.7127115726470947,0.6022453251075016,0.06231715106082415,0.43915343915343913,0.06520031421838178,0.11354309165526676,0.6389424872959227,0.8387315354384063,0.828752642706131,0.9288932673694581,0.2825636087258828,0.8925729442970822,0.133983675094565,0.23299290289077376,0.8726001219096957,0.8526272995223092,0.8536222787486373
IRSUIPLANYR,Árbol de Decisión,2,0.6838521957397461,0.612198854033791,0.07251788538702197,0.5079365079365079,0.07523510971786834,0.1310580204778157,0.674011620278052,0.8400867326195961,0.8317917547568711,0.9222915778696609,0.2655616927164601,0.8779840848806366,0.13449817147501017,0.2332628611698379,0.8668302373788284,0.85567638987702,0.8562320372633874
IRSUIPLANYR,Árbol de Decisión,3,0.7000679969787598,0.6200170511052745,0.0649233805017968,0.5185185185185185,0.07567567567567568,0.1320754716981132,0.678150707965046,0.8377828974115734,0.8298097251585623,0.9307247884575619,0.30361105546994216,0.9018567639257294,0.12837455163299982,0.22475623863824162,0.8727192143645315,0.8435816648033336,0.8450332000924977
IRSUIPLANYR,Árbol de Decisión,4,0.6874673366546631,0.6085506400276768,0.06928815359735617,0.5053191489361702,0.06436314363143632,0.1141826923076923,0.6590958888312288,0.8128726287262873,0.8052325581395349,0.9256459399279682,0.2618896463016432,0.9112582781456954,0.11670907548770144,0.2069172932330827,0.8674227425421525,0.8235872069386095,0.8257738429520003
