variable,rol_base,etiqueta_codebook,modulo,tipo_version,n_unicos,pct_nan
FLVVAPFLAG,Predictor principal,RC-ONLY FLAVORING VAPING - EVER USED,RECODED EMERGING ISSUES,Recodificada,2,0.0
FLVVAPYR,Predictor principal,RC-ONLY FLAVORING VAPING - PAST YEAR USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
FLVVAPMON,Predictor principal,RC-ONLY FLAVORING VAPING - PAST MONTH USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
SYNMRJFLAG,Predictor principal,RC-SYNTHETIC MARIJUANA - EVER USED,RECODED EMERGING ISSUES,Recodificada,2,0.0
SYNMRJYR,Predictor principal,RC-SYNTHETIC MARIJUANA - PAST YEAR USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
SYNMRJMON,Predictor principal,RC-SYNTHETIC MARIJUANA - PAST MONTH USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
SYNSTMFLAG,Predictor principal,RC-SYNTHETIC STIMULANTS - EVER USED,RECODED EMERGING ISSUES,Recodificada,2,0.0
SYNSTMYR,Predictor principal,RC-SYNTHETIC STIMULANTS - PAST YEAR USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
SYNSTMMON,Predictor principal,RC-SYNTHETIC STIMULANTS - PAST MONTH USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
IMFFLAG,Predictor principal,RC-ILLEGALLY MADE FENTANYL - EVER USED,RECODED EMERGING ISSUES,Recodificada,2,0.0
IMFYR,Predictor principal,RC-ILLEGALLY MADE FENTANYL - PAST YEAR USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
IMFMON,Predictor principal,RC-ILLEGALLY MADE FENTANYL - PAST MONTH USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
IMFNEDFLAG,Predictor principal,RC-EVER USED A NEEDLE TO INJECT IMF,RECODED EMERGING ISSUES,Recodificada,2,0.055
ANYNEDFLAG,Predictor principal,RC-EVER USED A NEEDLE TO INJECT DRUGS,RECODED EMERGING ISSUES,Recodificada,2,0.581
ANYNEDYR,Predictor principal,RC- USED A NEEDLE TO INJECT DRUGS - PAST YEAR,RECODED EMERGING ISSUES,Recodificada,2,0.564
FPIMFANYYR2,Predictor principal,RC-FENTANYL PRODUCTS INCLUDING IMF - ANY PAST YEAR USE,RECODED EMERGING ISSUES,Recodificada,2,0.0
FPIMFNMYR,Predictor principal,RC-FENTANYL PRODUCTS INCLUDING IMF - PAST YEAR MISUSE,RECODED EMERGING ISSUES,Recodificada,2,0.0
OPIIMFNMYR2,Predictor principal,RC-OPIOIDS (RX OPIOIDS OR HER) INCLUDING IMF - PST YR MISUSE,RECODED EMERGING ISSUES,Recodificada,2,0.0
OPIIMFNMMN2,Predictor principal,RC-OPIOIDS (RX OPIOIDS OR HER) INCLUDING IMF - PST MO MISUSE,RECODED EMERGING ISSUES,Recodificada,2,0.0
ILIMFOTHFG,Predictor principal,"RC-ILLICIT DRUG, IMF, OR OTHER SUB - EVER USED",RECODED EMERGING ISSUES,Recodificada,2,0.0
ILIMFOTHYR,Predictor principal,"RC-ILLICIT DRUG, IMF, OR OTHER SUB - PAST YEAR USE",RECODED EMERGING ISSUES,Recodificada,2,0.0
ILIMFOTHMN,Predictor principal,"RC-ILLICIT DRUG, IMF, OR OTHER SUB - PAST MONTH USE",RECODED EMERGING ISSUES,Recodificada,2,0.0
