variable,rol_base,etiqueta_codebook,modulo,tipo_version,n_unicos,pct_nan
IRCHMPUS,Predictor principal,CHAMPUS - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,2,0.0
IRPRVHLT,Predictor principal,PRIVATE HEALTH INSURANCE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,2,0.0
IROTHHLT,Predictor principal,OTHER HEALTH INSURANCE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,3,0.0
HLCALL99,Predictor principal,YES TO MEDICARE/MEDICAID/CHAMPUS/PRVHLTIN,RECODED HEALTH INSURANCE,Recodificada,2,0.0
ANYHLTI2,Predictor principal,COVERED BY ANY HEALTH INSURANCE - RECODE,RECODED HEALTH INSURANCE,Recodificada,5,0.0
IRINSUR4,Predictor principal,RC-OVERALL HEALTH INSURANCE - IMPUTATION REVISED,RECODED HEALTH INSURANCE,Recodificada,2,0.0
OTHINS,Predictor principal,"RC-HEALTH INSURANCE OTHER THAN PRIVATE, MEDICAID/CHIP",RECODED HEALTH INSURANCE,Recodificada,2,0.0
CELLWRKNG,Predictor principal,WORKING CELL PHONE,INCOME,Original u otra,6,0.0
CELLNOTCL,Predictor principal,NOT A CELL PHONE,INCOME,Original u otra,6,0.0
IRFAMSOC,Predictor principal,FAM RECEIVE SS OR RR PAYMENTS - IMPUTATION REVISED,IMPUTED INCOME,Imputada,2,0.0
IRFAMSSI,Predictor principal,FAM RECEIVE SSI - IMPUTATION REVISED,IMPUTED INCOME,Imputada,2,0.0
IRFSTAMP,Predictor principal,RESP/OTH FAM MEM REC FOOD STAMPS - IMPUTATION REVISED,IMPUTED INCOME,Imputada,2,0.0
IRFAMPMT,Predictor principal,FAM RECEIVE PUBLIC ASSIST - IMPUTATION REVISED,IMPUTED INCOME,Imputada,2,0.0
IRFAMSVC,Predictor principal,FAM REC WELFARE/JOB PL/CHILDCARE - IMPUTATION REVISED,IMPUTED INCOME,Imputada,2,0.0
IRWELMOS,Predictor principal,NO OF MONTHS ON WELFARE - IMPUTATION REVISED,IMPUTED INCOME,Imputada,13,0.0
IRPINC3,Predictor principal,RECODE -RESP TOT INCOME - IMPUTATION REVISED,IMPUTED INCOME,Imputada,7,0.0
IRFAMIN3,Predictor principal,RECODE - TOT FAM INCOME - IMPUTATION REVISED,IMPUTED INCOME,Imputada,7,0.0
GOVTPROG,Predictor principal,RC-PARTICIPATED IN ONE OR MORE GOVT ASSIST PROGRAMS,RECODED INCOME,Recodificada,2,0.0
INCOME,Predictor principal,RC-TOTAL FAMILY INCOME RECODE,RECODED INCOME,Recodificada,4,0.0
POVERTY3,Predictor principal,RC-POVERTY LEVEL (% OF US CENSUS POVERTY THRESHOLD),RECODED INCOME,Recodificada,3,0.288
BOOKED,Predictor principal,EVER ARRESTED AND BOOKED FOR BREAKING THE LAW,SPECIAL TOPICS,Original u otra,7,0.0
NOBOOKY2,Predictor principal,# TIMES ARRESTED AND BOOKED PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,9,0.0
BKMVTHFT,Predictor principal,ARRSTD & BOOKED FOR MOT VEH THEFT PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,8,0.0
BKLARCNY,Predictor principal,ARRSTD & BOOKED FOR LARCENY/THEFT PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,9,0.0
BKBURGL,Predictor principal,ARRSTD & BOOKED FOR BURGLARY/B & E PAST 12 MOS,SPECIAL TOPICS,Original u otra,8,0.0
