variable,n_estados_train,n_nan_train,pct_nan_train,pct_mas_frecuente_train,modulo,tipo_variable
AMYLNIEVER2,3,12,0.03171331166257037,96.68860170723327,RECODED DRUG USE,Binaria
CLEFLUEVER2,3,5,0.013213879859404318,99.31287824731098,RECODED DRUG USE,Binaria
GASEVER2,3,2,0.005285551943761728,98.76318084515975,RECODED DRUG USE,Binaria
GLUEEVER2,3,2,0.005285551943761728,98.73146753349718,RECODED DRUG USE,Binaria
ETHEREVER2,3,6,0.015856655831285184,99.54015698089272,RECODED DRUG USE,Binaria
SOLVENEVER2,3,4,0.010571103887523456,99.37101931869236,RECODED DRUG USE,Binaria
LGASEVER2,3,1,0.002642775971880864,99.62208303602104,RECODED DRUG USE,Binaria
NITOXIEVER2,3,8,0.02114220777504691,94.70387695235075,RECODED DRUG USE,Binaria
FLTMRKEVER2,3,5,0.013213879859404318,96.35825471074817,RECODED DRUG USE,Binaria
SPAINTEVER2,3,3,0.007928327915642592,99.13581225719496,RECODED DRUG USE,Binaria
AIRDUSEVER2,3,2,0.005285551943761728,98.57290097518433,RECODED DRUG USE,Binaria
OTHAEREVER2,3,3,0.007928327915642592,99.3498771109173,RECODED DRUG USE,Binaria
RXHYDCANY2,3,66,0.174423214144137,89.04040804461005,RECODED DRUG USE,Binaria
RXZOHYANY2,3,67,0.17706599011601787,99.64851079573984,RECODED DRUG USE,Binaria
RXOXCOANY2,3,72,0.19027986997542218,92.6530827981712,RECODED DRUG USE,Binaria
RXTRAMANY2,3,78,0.20613652580670738,95.1399349877111,RECODED DRUG USE,Binaria
RXCODEANY2,3,72,0.19027986997542218,93.94540024842094,RECODED DRUG USE,Binaria
RXMORPANY2,3,84,0.22199318163799256,97.88049367055154,RECODED DRUG USE,Binaria
RXBUPRANY2,3,71,0.18763709400354134,98.4116916408996,RECODED DRUG USE,Binaria
RXOXYMANY2,3,76,0.20085097386294565,99.42387483812996,RECODED DRUG USE,Binaria
RXDEMEANY2,3,82,0.21670762969423085,99.57451306852718,RECODED DRUG USE,Binaria
