variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
EDUSKPCOM,NRCH17_2,3227,-0.07697972682669829,0.07697972682669829
HIGHBPAGE,HTINCHE2,3933,-0.0768976970968689,0.0768976970968689
EDUSKPMON,NMERTMT2,799,0.07629521213583385,0.07629521213583385
ALCNUMDKPM,DIABETEAG,1080,-0.07576020134056609,0.07576020134056609
CIGDLLST,WRKNJBWKS,500,0.07558853089210914,0.07558853089210914
MRJAGLST,WRKDHRSWK2,7127,0.07445062908077492,0.07445062908077492
BMI2,SMKAGLAST,3719,0.07441743243046857,0.07441743243046857
SMKAGLAST,WRKDHRSWK2,2343,0.07412379013598128,0.07412379013598128
EDUSCKMON,NMVSOPT2,917,0.07385571479114655,0.07385571479114655
NMVSOPT2,WRKSICKMO,6217,0.07357310791098112,0.07357310791098112
IRWELMOS,WRKDHRSWK2,545,-0.07299680092778628,0.07299680092778628
ECSTMOAGL,WTPOUND2,3057,0.07278079676945848,0.07278079676945848
COCAGLST,NRCH17_2,4211,-0.07217373227567886,0.07217373227567886
EDUSCKMON,WTPOUND2,932,-0.07194087415699885,0.07194087415699885
ALCAGLST,WRKNJBWKS,1003,0.07157552042199794,0.07157552042199794
HALLAGLST,WRKDHRSWK2,3888,0.07100513650774075,0.07100513650774075
BMI2,EDUSKPMON,786,-0.07082465813170916,0.07082465813170916
CIGAVGM,INHLAGLST,808,0.07046945587400327,0.07046945587400327
CIGDLYLU,NRCH17_2,869,-0.07036429062780293,0.07036429062780293
CIGAVGM,WRKDHRSWK2,2352,0.06947451656374612,0.06947451656374612
ALCNUMDKPM,WRKDHRSWK2,11346,0.06916922656729954,0.06916922656729954
CIGDLLST,WTPOUND2,6732,0.06915411810667066,0.06915411810667066
BMI2,NMERTMT2,35751,0.06888017913030424,0.06888017913030424
EDUSKPCOM,WRKSICKMO,546,0.0685299528483762,0.0685299528483762
CIGAVGM,WRKSICKMO,946,0.06833318445059186,0.06833318445059186
MRJAGLST,NMNGTHS2,951,0.06818184887481295,0.06818184887481295
CGRAGLST,HTINCHE2,8984,0.06795648922975907,0.06795648922975907
IRWELMOS,NRCH17_2,1288,0.06748704708005229,0.06748704708005229
COCYLU,NMERTMT2,645,0.06729002186379868,0.06729002186379868
CRKAGLST,NMERTMT2,1058,0.0666689406347782,0.0666689406347782
HALLAGLST,HTINCHE2,6272,0.0662447618792531,0.0662447618792531
WRKNJBWKS,WTPOUND2,3262,-0.06611624078478104,0.06611624078478104
BMI2,CIGDLYLU,915,-0.06576358565436974,0.06576358565436974
COCAGLST,WTPOUND2,4503,0.06557601718392733,0.06557601718392733
MRJAGLST,WTPOUND2,11723,0.06521548681461461,0.06521548681461461
HERAGLST,NRCH17_2,690,-0.06455547771965549,0.06455547771965549
EDUSKPCOM,WRKLASTYR2,1000,0.06401500892325414,0.06401500892325414
BMI2,MRJAGLST,11696,0.06377107119813048,0.06377107119813048
COCAGLST,HTINCHE2,4511,0.0635658482294009,0.0635658482294009
BMI2,CIGAVGM,4928,0.06340505302313856,0.06340505302313856
SMKAGLAST,SMKYRLAST,593,0.0632005293054545,0.0632005293054545
HALLAGLST,WRKNJBWKS,697,0.06314091248837406,0.06314091248837406
HTINCHE2,WRKLASTYR2,10680,0.06285129327715931,0.06285129327715931
CIGAVGM,NRCH17_2,4645,0.06272923674784661,0.06272923674784661
INHLAGLST,MRJYLU,566,0.06259552531488499,0.06259552531488499
DIABETEAG,NMVSOPT2,2686,0.06238785791786613,0.06238785791786613
NMNGTHS2,WRKDHRSWK2,934,-0.06237201042840812,0.06237201042840812
ASTHMAAGE,WRKSICKMO,916,0.061603181356511556,0.061603181356511556
EDUSKPCOM,NMERTMT2,3322,0.061284169014663825,0.061284169014663825
HTINCHE2,NMERTMT2,36039,-0.061148140773880234,0.061148140773880234
ALCAGLST,NMNGTHS2,1092,0.06026132791450886,0.06026132791450886
HERAGLST,NMVSOPT2,715,0.059905337014914704,0.059905337014914704
BMI2,HERAGLST,737,-0.05971550201762218,0.05971550201762218
CIGDLYLU,NMVSOPT2,895,-0.058958803917197294,0.058958803917197294
ALCAGLST,IRWELMOS,612,0.05889342906860148,0.05889342906860148
METHAGLST,NMERTMT2,1612,0.0584684353567836,0.0584684353567836
EDUSCKCOM,NRCH17_2,3228,-0.05796831528278464,0.05796831528278464
BMI2,DIABETEAG,2845,-0.057956049291073695,0.057956049291073695
HALLYRLST,NMERTMT2,1558,0.05786156554633747,0.05786156554633747
ALCNUMDKPM,HLCNOTMO,940,0.0576621673210471,0.0576621673210471
ALCNUMDKPM,WRKSKIPMO,1835,0.057401495056247344,0.057401495056247344
ALCYLU,COCAGLST,762,-0.057218539406383453,0.057218539406383453
INHLAGLST,WRKDHRSWK2,2154,0.05678588447763389,0.05678588447763389
BMI2,HALLAGLST,6245,0.055749071116787695,0.055749071116787695
EDUSKPMON,WTPOUND2,789,-0.055728076225277555,0.055728076225277555
EDUSCKCOM,WRKNJBWKS,509,-0.05568804164306708,0.05568804164306708
HLCNOTMO,MRJAGLST,694,0.05539714227082391,0.05539714227082391
