variable,modulo,rol_provisional,n_unicos,pct_nan,uso_provisional,motivo_uso
OXCNNMYFU,PAIN RELIEVERS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
OXCNNMMFU,PAIN RELIEVERS,Predictor candidato,16,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNMREC,PAIN RELIEVERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNMINIT,PAIN RELIEVERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNMAGE,PAIN RELIEVERS,Predictor candidato,58,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNMYFU,PAIN RELIEVERS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNMMFU,PAIN RELIEVERS,Predictor candidato,16,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNM30D,PAIN RELIEVERS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNM30FQ,PAIN RELIEVERS,Predictor candidato,31,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNM30ES,PAIN RELIEVERS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNM30AL,PAIN RELIEVERS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRWYNORX,PAIN RELIEVERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRWYGAMT,PAIN RELIEVERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRWYOFTN,PAIN RELIEVERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRWYLNGR,PAIN RELIEVERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRWYOTWY,PAIN RELIEVERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNMLAS1,PAIN RELIEVERS,Predictor candidato,36,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSPAIN,PAIN RELIEVERS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSRELX,PAIN RELIEVERS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSEXPT,PAIN RELIEVERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSHIGH,PAIN RELIEVERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSSLEP,PAIN RELIEVERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSEMOT,PAIN RELIEVERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSDGFX,PAIN RELIEVERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSHOOK,PAIN RELIEVERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSSOR,PAIN RELIEVERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSOTRS2,PAIN RELIEVERS,Predictor candidato,18,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRRSMAIN,PAIN RELIEVERS,Predictor candidato,16,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
PNRNORXFG,PAIN RELIEVERS,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
FENTNMYR,PAIN RELIEVERS,Predictor candidato,2,0.04,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQANYLIF,TRANQUILIZERS SCREENER,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQANYREC,TRANQUILIZERS SCREENER,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRBZOANYYR,TRANQUILIZERS SCREENER,Predictor candidato,2,0.288,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNMLIF,TRANQUILIZERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNMREC,TRANQUILIZERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNMINIT,TRANQUILIZERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNMAGE,TRANQUILIZERS,Predictor candidato,46,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNMYFU,TRANQUILIZERS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNMMFU,TRANQUILIZERS,Predictor candidato,16,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNM30D,TRANQUILIZERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNM30FQ,TRANQUILIZERS,Predictor candidato,27,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNM30ES,TRANQUILIZERS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNM30AL,TRANQUILIZERS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQWYNORX,TRANQUILIZERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQWYGAMT,TRANQUILIZERS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQWYOFTN,TRANQUILIZERS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQWYLNGR,TRANQUILIZERS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQWYOTWY,TRANQUILIZERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNMLAS1,TRANQUILIZERS,Predictor candidato,20,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQRSRELX,TRANQUILIZERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQRSEXPT,TRANQUILIZERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQRSHIGH,TRANQUILIZERS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQRSSLEP,TRANQUILIZERS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQRSEMOT,TRANQUILIZERS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQRSDGFX,TRANQUILIZERS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQRSHOOK,TRANQUILIZERS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQRSSOR,TRANQUILIZERS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQRSOTRS2,TRANQUILIZERS,Predictor candidato,17,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQRSMAIN,TRANQUILIZERS,Predictor candidato,15,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRQNORXFG,TRANQUILIZERS,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
TRBZONMYR,TRANQUILIZERS,Predictor candidato,2,0.29,Predictor candidato,Pendiente de revisión conceptual y estadística
STMANYLIF,STIMULANTS SCREENER,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMANYREC,STIMULANTS SCREENER,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNMLIF,STIMULANTS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNMREC,STIMULANTS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNMINIT,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNMAGE,STIMULANTS,Predictor candidato,33,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNMYFU,STIMULANTS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNMMFU,STIMULANTS,Predictor candidato,16,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNM30D,STIMULANTS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNM30FQ,STIMULANTS,Predictor candidato,28,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
