variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,modulo,notas,rol_provisional,etiqueta_codebook,ref_fuente,n_ref,documentada_codebook,tipo_version
SMIPY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP SMI IND (1/0) BASED ON PREDICTED SMI PROB PY,SMIPPPY,1,True,Recodificada
AMIPY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP AMI IND (1/0) BASED ON PREDICTED SMI PROB PY,SMIPPPY,1,True,Recodificada
SMMIPY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP SMMI IND (1/0) BASED ON PREDICTED SMI PROB PY,SMIPPPY,1,True,Recodificada
MMIPY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP MOD MI IND (1/0) BASED ON PRED SMI PROB PY,"SMIPY, SMMIPY",2,True,Recodificada
LMIPY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP MILD MI IND (1/0) BASED ON PRED SMI PROB PY,"AMIPY, SMMIPY",2,True,Recodificada
LMMIPY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP LMMI IND (1/0) BASED ON PREDICTED SMI PROB PY,"LMIPY, MMIPY",2,True,Recodificada
MICATPY,float64,47299,4,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP CATEGORICAL MI INDICATOR PY,"LMIPY, MMIPY, SMIPY",3,True,Recodificada
SMISUD5ANY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP SMI AND SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,"SMIPY, UD5ILALANY",2,True,Recodificada
AMISUD5ANY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP AMI AND SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,"AMIPY, UD5ILALANY",2,True,Recodificada
LMMISUD5ANY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP LMMI AND SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,"LMMIPY, UD5ILALANY",2,True,Recodificada
SMIRSUD5ANY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP SMI OR SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,"SMIPY, UD5ILALANY",2,True,Recodificada
SMISUD5ANYO,float64,47299,4,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,"RC-ONLY IMP SMI, ONLY SUD, BOTH, OR NEITHER - PY-DSM-5-ANY","SMIPY, UD5ILALANY",2,True,Recodificada
AMIRSUD5ANY,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-IMP AMI OR SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,"AMIPY, UD5ILALANY",2,True,Recodificada
AMISUD5ANYO,float64,47299,4,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,"RC-ONLY IMP AMI, ONLY SUD, BOTH, OR NEITHER - PY-DSM-5-ANY","AMIPY, UD5ILALANY",2,True,Recodificada
AGADTOTSC,float64,47299,22,0,0.0,RECODED ADULT MENTAL HEALTH,,Predictor candidato,RC-ADULT GAD-7 TOTAL SCORE - PAST 2 WEEKS,"IRAGADANNOY, IRAGADAWFUL, IRAGADNRVANX, IRAGADNTSTOP, IRAGADRSTLSS, IRAGADTRBRLX, IRAGADWRYMCH",7,True,Recodificada
AGADSEVSYMP,float64,47299,4,0,0.0,RECODED ADULT MENTAL HEALTH,,Predictor candidato,RC-ADULT GAD-7 SEVERITY OF SYMPTOMS - PAST 2 WEEKS,AGADTOTSC,1,True,Recodificada
AGADMODOSEV,float64,47299,3,0,0.0,RECODED ADULT MENTAL HEALTH,,Predictor candidato,RC-ADULT GAD-7 MODERATE OR SEVERE SYMPTOMS - PAST 2 WEEKS,AGADTOTSC,1,True,Recodificada
ADSUITPAYR,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,"RC-ADULT THOUGHT ABOUT, PLANNED, OR ATTEMPTED SUICIDE - PY","IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",3,True,Recodificada
ADSUITPACOM,float64,47299,8,0,0.0,RECODED ADULT MENTAL HEALTH,,Excluir por fuga de información,RC-ADULT PY SUICIDE THOUGHTS/PLANS/ATTEMPTS COMBINATIONS,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",3,True,Recodificada
ADDPREV,int64,47299,6,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,SEVERAL DAYS OR LNGR WHEN FELT SAD/EMPTY/DPRSD,ASC21,1,True,Original u otra
ADDSCEV,int64,47299,6,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,SEVERAL DAYS OR LNGR FELT DISCOURAGED ABT LIFE,ASC22,1,True,Original u otra
ADLOSEV,int64,47299,6,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,EVER HAD PER OF TIME LST INTRST IN ENJOYABLE THGS,ASC23,1,True,Original u otra
ADDPDISC,int64,47299,7,0,0.0,ADULT DEPRESSION,,Predictor candidato,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,AD01,1,True,Original u otra
ADDPLSIN,int64,47299,7,0,0.0,ADULT DEPRESSION,,Predictor candidato,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,"AD01A, AD01B",2,True,Original u otra
ADDSLSIN,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,AD02,1,True,Original u otra
ADLSI2WK,int64,47299,6,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,PERIOD OF TIME LASTED EVERY DAY FOR 2 WKS /LNGR,AD09,1,True,Original u otra
ADDPR2WK,int64,47299,7,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,TIME WHEN [FEELFILL] LSTD EVRYDY 2 WKS OR LNGR,AD12,1,True,Original u otra
ADWRHRS,int64,47299,9,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,TIME THAT MOST SEVERE/FREQUENT MOOD LASTED,AD16,1,True,Original u otra
ADWRDST,int64,47299,8,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,HOW SEVERE WAS EMOTIONAL DISTRESS DURING 2 WKS,AD17,1,True,Original u otra
ADWRCHR,int64,47299,8,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,EMOT DISTRSS SO SEVERE NOTHING COULD CHEER YOU UP,AD18,1,True,Original u otra
ADWRIMP,int64,47299,8,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,EMOT DISTRSS SO SEVERE COULD NT DO DLY ACTIVITIES,AD19,1,True,Original u otra
ADDPPROB,int64,47299,6,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,EVER HAVE OTH PRBLMS DURING 2 WKS OR LONGER,AD21,1,True,Original u otra
ADWRPROB,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,ONE PARTICULAR TIME THAT IS THE WORST ONE EVER,AD22,1,True,Original u otra
ADWRAGE,int64,47299,93,0,0.0,ADULT DEPRESSION,,Predictor candidato,AGE WHEN WORST PERIOD OF TIME STARTED,"AD22A, AD22C",2,True,Original u otra
ADWRDEPR,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST FELT SAD/EMPTY/DPRSD EVERY DAY,AD24A,1,True,Original u otra
ADWRDISC,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST FELT DISCRGED ABT LIFE EVERYDAY,AD24C,1,True,Original u otra
ADWRLSIN,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST LOSE INTRST IN ENJOYABLE THINGS,AD24E,1,True,Original u otra
ADWRPLSR,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST LOSE PLSURE IN GOOD THINGS,AD24F,1,True,Original u otra
ADWRELES,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST HAVE SMALLER APPETITE EVERY DAY,AD26A,1,True,Original u otra
ADWREMOR,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST HAVE LARGER APPETITE EVERY DAY,AD26B,1,True,Original u otra
ADWRGAIN,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST DID YOU GAIN WEIGHT W/O TRYING,AD26C,1,True,Original u otra
ADWRGROW,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST GAIN WGHT W/O TRYING BC GROWING,AD26C1,1,True,Original u otra
ADWRPREG,int64,47299,5,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST GAIN WGHT W/O TRYING BC PRGN,AD26C2,1,True,Original u otra
ADWRGNL2,int64,47299,31,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST # LBS GAINED WITHOUT TRYING,AD26D,1,True,Original u otra
ADWRLOSE,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST DID YOU LOSE WEIGHT W/O TRYING,AD26E,1,True,Original u otra
ADWRDIET,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST LOSE WGHT W/O TRYING BC SICK/DT,AD26E1,1,True,Original u otra
ADWRLSL2,int64,47299,32,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST # LBS LOST WITHOUT TRYING,AD26F,1,True,Original u otra
ADWRSLEP,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST HAVE PRBS SLEEPING/WAKING EARLY,AD26G,1,True,Original u otra
ADWRSMOR,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST SLEEP A LOT MORE THAN USUAL,AD26H,1,True,Original u otra
ADWRENRG,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST FEEL TIRED/LOW ON ENERGY EVRYDY,AD26J,1,True,Original u otra
ADWRSLOW,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST TALK/MOVE SLOWER THAN USUAL,AD26L,1,True,Original u otra
ADWRSLNO,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST PEOP NOTICE SLOWER THAN USUAL,AD26M,1,True,Original u otra
ADWRJITT,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST RSTLSS/JITTRY/PACING EVERYDAY,AD26N,1,True,Original u otra
ADWRJINO,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST PEOP NOTICE YOU WERE RSTLSS,AD26O,1,True,Original u otra
ADWRTHOT,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST THGHTS SLOWER/MORE CONFUSING,AD26P,1,True,Original u otra
ADWRCONC,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST HAVE TROUBLE CONCENTRATING,AD26R,1,True,Original u otra
ADWRDCSN,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST UNABLE TO MAKE DECISIONS,AD26S,1,True,Original u otra
ADWRNOGD,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WRST FEEL NOT AS GOOD AS OTHER PEOPLE,AD26U,1,True,Original u otra
ADWRWRTH,int64,47299,5,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST FEEL TOTALLY WORTHLESS EVERYDAY,AD26V,1,True,Original u otra
AD_MDEA1,int64,47299,5,0,0.0,ADULT DEPRESSION,,Predictor candidato,SAD/EMPTY/DEPRESSED MOST OF DAY OR DISCOURAGED,D_MDEA1,1,True,Original u otra
AD_MDEA2,int64,47299,5,0,0.0,ADULT DEPRESSION,,Predictor candidato,LOST INTEREST OR PLEASURE IN MOST THINGS,D_MDEA2,1,True,Original u otra
AD_MDEA3,int64,47299,5,0,0.0,ADULT DEPRESSION,,Predictor candidato,CHANGES IN APPETITE OR WT,D_MDEA3,1,True,Original u otra
AD_MDEA4,int64,47299,5,0,0.0,ADULT DEPRESSION,,Predictor candidato,SLEEP PROBLEMS,D_MDEA4,1,True,Original u otra
AD_MDEA5,int64,47299,5,0,0.0,ADULT DEPRESSION,,Predictor candidato,OTHERS NOTICED THAT R WAS RESTLESS OR LETHARGIC,D_MDEA5,1,True,Original u otra
AD_MDEA6,int64,47299,5,0,0.0,ADULT DEPRESSION,,Predictor candidato,FELT TIRED/LOW ENERGY NEARLY EVERY DAY,D_MDEA6,1,True,Original u otra
AD_MDEA7,int64,47299,4,0,0.0,ADULT DEPRESSION,,Predictor candidato,FELT WORTHLESS NEARLY EVERY DAY,D_MDEA7,1,True,Original u otra
AD_MDEA8,int64,47299,5,0,0.0,ADULT DEPRESSION,,Predictor candidato,INABILITY TO CONCENTRATE OR MAKE DECISIONS,D_MDEA8,1,True,Original u otra
ADSMMDEA,int64,47299,5,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,SCORE OF SYMPTOM INDICATORS 1 THRU 9,DSMMDEA2,1,True,Original u otra
ADPBINTF,int64,47299,9,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,AD28,1,True,Original u otra
ADPBDLYA,int64,47299,8,0,0.0,ADULT DEPRESSION,,Predictor candidato,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,AD28A,1,True,Original u otra
ADPBRMBR,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,RMBR AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,AD37,1,True,Original u otra
ADPBAGE,int64,47299,90,0,0.0,ADULT DEPRESSION,,Predictor candidato,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,"AD37A, AD37B",2,True,Original u otra
ADPBNUM,int64,47299,146,0,0.0,ADULT DEPRESSION,,Predictor candidato,# TIMES FELT THIS WAY FOR 2 WKS/LNGR DURING LIFE,AD52,1,True,Original u otra
ADPB2WK,int64,47299,6,0,0.0,ADULT DEPRESSION,,Excluir por fuga de información,FELT THIS 2 WKS+ W/OTH PRBS DURING PAST 12 MOS,AD38,1,True,Original u otra
ADPSHMGT,int64,47299,15,0,0.0,ADULT DEPRESSION,,Predictor candidato,HOW MUCH DID FEELINGS INTERFERE WITH HOME MNGMT,AD66A,1,True,Original u otra
ADPSWORK,int64,47299,15,0,0.0,ADULT DEPRESSION,,Predictor candidato,HOW MUCH DID FEELING INTERFERE WITH ABLTY TO WORK,AD66B,1,True,Original u otra
ADPSRELS,int64,47299,15,0,0.0,ADULT DEPRESSION,,Predictor candidato,HOW MUCH DID FEELING INTERFERE WITH RELATIONSHIPS,AD66C,1,True,Original u otra
ADPSSOC,int64,47299,15,0,0.0,ADULT DEPRESSION,,Predictor candidato,HOW MUCH DID FEELINGS INTERFERE WITH SOCIAL LIFE,AD66D,1,True,Original u otra
ADPSDAYS,int64,47299,174,0,0.0,ADULT DEPRESSION,,Predictor candidato,# DYS UNABLE TO WORK/CARRY OUT DLY ACT PST 12 MOS,AD68,1,True,Original u otra
ADSEEDOC,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,SEE/TALK TO DR/OTH PROF ABT FEELINGS PAST 12 MOS,AD86,1,True,Original u otra
ADFAMDOC,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,AD86A01,1,True,Original u otra
ADOTHDOC,int64,47299,7,0,0.0,ADULT DEPRESSION,,Predictor candidato,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,AD86A02,1,True,Original u otra
ADPSYCH,int64,47299,7,0,0.0,ADULT DEPRESSION,,Predictor candidato,PSYCHOLOGIST TALKED W/ABOUT FEELINGS PAST 12 MOS,AD86A03,1,True,Original u otra
ADPSYMD,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,PSYCHIATRIST TALKED W/ABOUT FEELINGS PAST 12 MOS,AD86A04,1,True,Original u otra
ADSOCWRK,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,SOCIAL WORKER TALKED W/ABOUT FEELINGS PAST 12 MOS,AD86A05,1,True,Original u otra
ADCOUNS,int64,47299,7,0,0.0,ADULT DEPRESSION,,Predictor candidato,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,AD86A06,1,True,Original u otra
ADOTHMHP,int64,47299,7,0,0.0,ADULT DEPRESSION,,Predictor candidato,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,AD86A07,1,True,Original u otra
ADNURSE,int64,47299,7,0,0.0,ADULT DEPRESSION,,Predictor candidato,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,AD86A08,1,True,Original u otra
ADRELIG,int64,47299,7,0,0.0,ADULT DEPRESSION,,Predictor candidato,RELIGIOUS ADVSR TLKED W/ABOUT FEELINGS PST 12 MOS,AD86A09,1,True,Original u otra
ADHERBAL,int64,47299,7,0,0.0,ADULT DEPRESSION,,Predictor candidato,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,AD86A10,1,True,Original u otra
ADOTHHLP,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,AD86A11,1,True,Original u otra
ADTMTNOW,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,CURRENTLY RCVNG PROF TREATMENT/COUNSLG FOR MOOD,AD86B,1,True,Original u otra
ADRX12MO,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,TAKE PRES MEDS PRESCRIBED FOR MOOD PAST 12 MONTHS,AD86C,1,True,Original u otra
ADRXNOW,int64,47299,6,0,0.0,ADULT DEPRESSION,,Predictor candidato,CURRENTLY TAKING PRESC MEDS PRESCRIBED FOR MOOD,AD86D,1,True,Original u otra
ADRXHLP,int64,47299,9,0,0.0,ADULT DEPRESSION,,Predictor candidato,HOW MUCH HAS PRESC MEDS FOR MOOD HELPED PST 12 MO,AD86E,1,True,Original u otra
ADTMTHLP,int64,47299,9,0,0.0,ADULT DEPRESSION,,Predictor candidato,HOW MUCH HAS TRMT/COUNSLG HELPED PST 12 MOS,AD86F,1,True,Original u otra
AMDELT,float64,45747,2,1552,3.281,ADULT DEPRESSION,,Excluir por fuga de información,ADULT: LIFETIME MAJOR DEPRESSIVE EPISODE (MDE),"ADDPPROB, ADDPR2WK, ADDPREV, ADDSCEV, ADLOSEV, ADLSI2WK, ADSMMDEA, ADWRCHR, ADWRDST, ADWRHRS, ADWRIMP",11,True,Original u otra
AMDEYR,float64,45659,2,1640,3.467,ADULT DEPRESSION,,Excluir por fuga de información,ADULT: PAST YEAR MAJOR DEPRESSIVE EPISODE (MDE),"ADPB2WK, AMDELT",2,True,Original u otra
ASDSHOM2,float64,5016,5,42283,89.395,ADULT DEPRESSION,,Predictor candidato,ADULT: DEPRESS FEELINGS ROLE IMPAIRMENT - HOME MANAGEMENT,ADPSHMGT,1,True,Original u otra
ASDSWRK2,float64,5010,5,42289,89.408,ADULT DEPRESSION,,Predictor candidato,ADULT: DEPRESS FEELINGS ROLE IMPAIRMENT - ABILITY TO WORK,ADPSWORK,1,True,Original u otra
ASDSREL2,float64,5024,5,42275,89.378,ADULT DEPRESSION,,Predictor candidato,ADULT: DEP FEELINGS ROLE IMPAIRMENT - CLOSE RELATIONSHIPS,ADPSRELS,1,True,Original u otra
ASDSSOC2,float64,5026,5,42273,89.374,ADULT DEPRESSION,,Predictor candidato,ADULT: DEPRESSIVE FEELINGS ROLE IMPAIRMENT - SOCIAL LIFE,ADPSSOC,1,True,Original u otra
AMDEIMP,float64,45617,2,1682,3.556,ADULT DEPRESSION,,Predictor candidato,ADULT: MDE WITH SEVERE ROLE IMPAIRMENT,"AMDEYR, ASDSHOM2, ASDSREL2, ASDSSOC2, ASDSWRK2",5,True,Original u otra
IRAMDELT,float64,47299,2,0,0.0,IMPUTED ADULT DEPRESSION,,Predictor candidato,ADULT: LIFETIME MAJOR DEPRESSIVE EPISODE (MDE) - IMP REV,AMDELT,1,True,Imputada
IIAMDELT,int64,47299,2,0,0.0,IMPUTED ADULT DEPRESSION,,Predictor candidato,ADULT: LIFETIME MAJOR DEPRESSIVE EPISODE (MDE) - IMP IND,AMDELT,1,True,Imputada
IRAMDEYR,float64,47299,2,0,0.0,IMPUTED ADULT DEPRESSION,,Variable objetivo,ADULT: PAST YEAR MAJOR DEPRESSIVE EPISODE (MDE) - IMP REV,AMDEYR,1,True,Imputada
IIAMDEYR,int64,47299,2,0,0.0,IMPUTED ADULT DEPRESSION,,Indicador de imputación de variable objetivo,ADULT: PAST YEAR MAJOR DEPRESSIVE EPISODE (MDE) - IMP IND,AMDEYR,1,True,Imputada
IRAMDEIMP,float64,47299,2,0,0.0,IMPUTED ADULT DEPRESSION,,Predictor candidato,ADULT: MDE WITH SEVERE ROLE IMPAIRMENT - IMP REV,AMDEIMP,1,True,Imputada
IIAMDEIMP,int64,47299,2,0,0.0,IMPUTED ADULT DEPRESSION,,Predictor candidato,ADULT: MDE WITH SEVERE ROLE IMPAIRMENT - IMP IND,AMDEIMP,1,True,Imputada
ATXMDEYR,float64,9292,2,38007,80.355,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO MD/PROF ABT DEPRESSIVE FEELNGS IN PY,ADSEEDOC,1,True,Recodificada
ARXMDEYR,float64,9292,2,38007,80.355,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: USED RX MEDICATION FOR DEPRESSIVE FEELINGS IN PY,ADRX12MO,1,True,Recodificada
AMDETXRX,float64,9293,2,38006,80.353,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: RCVD TRT/CNSLG OR RX MED FOR DEPRESS FEELING IN PY,"ARXMDEYR, ATXMDEYR",2,True,Recodificada
ADOCMDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO GEN PRAC/FAM MD ABT DEP FEELINGS IN PY,"ADFAMDOC, ADSEEDOC",2,True,Recodificada
AOMDMDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO OTHER MD ABT DEPRESSIVE FEELINGS IN PY,"ADOTHDOC, ADSEEDOC",2,True,Recodificada
APSY1MDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO PSYCHOLOGIST ABT DEPRES FEELINGS IN PY,"ADPSYCH, ADSEEDOC",2,True,Recodificada
APSY2MDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO PSYCHIATRIST ABT DEPRES FEELINGS IN PY,"ADPSYMD, ADSEEDOC",2,True,Recodificada
ASOCMDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO SOCIAL WORKR ABT DEPRES FEELINGS IN PY,"ADSEEDOC, ADSOCWRK",2,True,Recodificada
ACOUNMDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO COUNSELOR ABT DEPRESSVE FEELINGS IN PY,"ADCOUNS, ADSEEDOC",2,True,Recodificada
AOMHMDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO OTH MENT HLTH PROF ABT DEP FEELINGS-PY,"ADOTHMHP, ADSEEDOC",2,True,Recodificada
ANURSMDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO NURSE/OCC THERA ABT DEP FEELINGS IN PY,"ADNURSE, ADSEEDOC",2,True,Recodificada
ARELMDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO RELIG ADVISR ABT DEPRES FEELINGS IN PY,"ADRELIG, ADSEEDOC",2,True,Recodificada
AHBCHMDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO ANOTHER HEALER ABT DEPR FEELINGS IN PY,"ADHERBAL, ADSEEDOC",2,True,Recodificada
AHLTMDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO HLTH PROF ABT DEPRESSVE FEELINGS IN PY,"ACOUNMDE, ADOCMDE, ANURSMDE, AOMDMDE, AOMHMDE, APSY1MDE, APSY2MDE, ASOCMDE",8,True,Recodificada
AALTMDE,float64,9282,2,38017,80.376,RECODED ADULT DEPRESSION,,Predictor candidato,RC-ADULT: SAW/TALK TO ALT SERV PROF ABT DEPRS FEELINGS IN PY,"AHBCHMDE, ARELMDE",2,True,Recodificada
MHTSEEKTX2,int64,47299,8,0,0.0,MENTAL HEALTH SERVICES UTILIZATION,,Predictor candidato,DID SEEK TRMT FOR MENTAL HEALTH (NOT RCVD TRMT)-PST 12 MOS,TXMHSEK,1,True,Original u otra
MHTSHLDTX2,int64,47299,8,0,0.0,MENTAL HEALTH SERVICES UTILIZATION,,Predictor candidato,THOUGHT SHLD GET MNTL HLTH TRMT (NOT RCVD TRMT)-PST 12 MOS,TXMHGET,1,True,Original u otra
MHTUNCOST2,int64,47299,6,0,0.0,MENTAL HEALTH SERVICES UTILIZATION,,Predictor candidato,UNMET MH TRMT NEED: TREATMENT COST TOO MUCH,TXMHNOA,1,True,Original u otra
MHTUNINSCV2,int64,47299,6,0,0.0,MENTAL HEALTH SERVICES UTILIZATION,,Predictor candidato,UNMET MH TRMT NEED: NO HEALTH INSURANCE COVERAGE FOR TRMT,TXMHNOB,1,True,Original u otra
MHTUNENFCV2,int64,47299,6,0,0.0,MENTAL HEALTH SERVICES UTILIZATION,,Predictor candidato,UNMET MH TRMT NEED: HEALTH INSURANCE DID NOT COVER ENOUGH,TXMHNOC,1,True,Original u otra
MHTUNWHER2,int64,47299,6,0,0.0,MENTAL HEALTH SERVICES UTILIZATION,,Predictor candidato,UNMET TRMT NEED: DID NOT KNOW HOW/WHERE TO GET TREATMENT,TXMHNOD,1,True,Original u otra
MHTUNNOFND2,int64,47299,6,0,0.0,MENTAL HEALTH SERVICES UTILIZATION,,Predictor candidato,UNMET MH TRMT NEED: COULD NOT FIND PREFERRED PROVIDER,TXMHNOE,1,True,Original u otra
MHTUNNOOPN2,int64,47299,6,0,0.0,MENTAL HEALTH SERVICES UTILIZATION,,Predictor candidato,UNMET MH TRMT NEED: NO OPENINGS WITH PREFERRED PROVIDER,TXMHNOF,1,True,Original u otra
MHTUNPROBS2,int64,47299,6,0,0.0,MENTAL HEALTH SERVICES UTILIZATION,,Predictor candidato,"UNMET MH TRMT NEED: PROB W/TRANS, CHILD CARE, APPT TIMES",TXMHNOG,1,True,Original u otra
