variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,modulo,notas,rol_provisional,etiqueta_codebook,ref_fuente,n_ref,documentada_codebook,tipo_version
CHAMPUS,int64,47299,5,0,0.0,HEALTH INSURANCE,,Predictor candidato,"COV BY TRICARE, CHAMPUS, CHAMPVA, VA, MILITARY",QHI03,1,True,Original u otra
PRVHLTIN,int64,47299,5,0,0.0,HEALTH INSURANCE,,Predictor candidato,COVERED BY PRIVATE INSURANCE,QHI06,1,True,Original u otra
GRPHLTIN,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,PRIVATE PLAN OFFERED THROUGH EMPLOYER OR UNION,QHI07,1,True,Original u otra
HLTINALC,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,PRIVATE INSURANCE COVERS TRMT FOR ALCOHOL ABUSE/ALCOHOLISM,QHI08,1,True,Original u otra
HLTINDRG,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,PRIVATE INSURANCE COVERS TRMT FOR DRUG ABUSE,QHI09,1,True,Original u otra
HLTINMNT,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,PRIVATE INSURANCE COVERS TRMT FOR MENTAL/EMOTIONAL PROBLEMS,QHI10,1,True,Original u otra
HLTINNOS,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,COVERED BY HEALTH INSUR (NOT OTHERWISE SPECIFIED),QHI11,1,True,Original u otra
HLCNOTYR,int64,47299,7,0,0.0,HEALTH INSURANCE,,Predictor candidato,ANYTIME DID NOT HAVE HEALTH INS/COVER PAST 12 MOS,QHI13,1,True,Original u otra
HLCNOTMO,int64,47299,16,0,0.0,HEALTH INSURANCE,,Predictor candidato,"PAST 12 MOS, HOW MANY MOS W/O COVERAGE",QHI14,1,True,Original u otra
HLCLAST,int64,47299,9,0,0.0,HEALTH INSURANCE,,Predictor candidato,TIME SINCE LAST HAD HEALTH CARE COVERAGE,QHI15,1,True,Original u otra
HLLOSRSN,int64,47299,17,0,0.0,HEALTH INSURANCE,,Predictor candidato,MAIN REASON STOPPED COVERED BY HEALTH INSURANCE,QHI17,1,True,Original u otra
HLNVCOST,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,NEVER HAD HEALTH INSURANCE BECAUSE COST TOO HIGH,QHI181,1,True,Original u otra
HLNVOFFR,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,NEVER HAD HEALTH INSURANCE BECAUSE EMPLOYER DOESN'T OFFER,QHI182,1,True,Original u otra
HLNVREF,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,NEVER HAD HEALTH INSURANCE BC INS COMPANY REFUSED COVERAGE,QHI183,1,True,Original u otra
HLNVNEED,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,NEVER HAD HEALTH INSURANCE BECAUSE DON'T NEED IT,QHI184,1,True,Original u otra
HLNVSOR,int64,47299,6,0,0.0,HEALTH INSURANCE,,Predictor candidato,NEVER HAD HEALTH INSURANCE BECAUSE OF SOME OTHER REASON,QHI185,1,True,Original u otra
IRMEDICR,int64,47299,2,0,0.0,IMPUTED HEALTH INSURANCE,,Predictor candidato,MEDICARE - IMPUTATION REVISED,MEDICARE,1,True,Imputada
IIMEDICR,int64,47299,2,0,0.0,IMPUTED HEALTH INSURANCE,,Predictor candidato,MEDICARE - IMPUTATION INDICATOR,MEDICARE,1,True,Imputada
IRMCDCHP,int64,47299,2,0,0.0,IMPUTED HEALTH INSURANCE,,Predictor candidato,MEDICAID/CHIP - IMPUTATION REVISED,CAIDCHIP,1,True,Imputada
IIMCDCHP,int64,47299,2,0,0.0,IMPUTED HEALTH INSURANCE,,Predictor candidato,MEDICAID/CHIP - IMPUTATION INDICATOR,CAIDCHIP,1,True,Imputada
IRCHMPUS,int64,47299,2,0,0.0,IMPUTED HEALTH INSURANCE,,Predictor candidato,CHAMPUS - IMPUTATION REVISED,CHAMPUS,1,True,Imputada
IICHMPUS,int64,47299,2,0,0.0,IMPUTED HEALTH INSURANCE,,Predictor candidato,CHAMPUS - IMPUTATION INDICATOR,CHAMPUS,1,True,Imputada
IRPRVHLT,int64,47299,2,0,0.0,IMPUTED HEALTH INSURANCE,,Predictor candidato,PRIVATE HEALTH INSURANCE - IMPUTATION REVISED,PRVHLTIN,1,True,Imputada
IIPRVHLT,int64,47299,2,0,0.0,IMPUTED HEALTH INSURANCE,,Predictor candidato,PRIVATE HEALTH INSURANCE - IMPUTATION INDICATOR,PRVHLTIN,1,True,Imputada
IROTHHLT,int64,47299,3,0,0.0,IMPUTED HEALTH INSURANCE,,Predictor candidato,OTHER HEALTH INSURANCE - IMPUTATION REVISED,"ANYHLTI2, CAIDCHIP, CHAMPUS, IRCHMPUS, IRMCDCHP, IRMEDICR, IRPRVHLT, MEDICARE, PRVHLTIN",9,True,Imputada
