variable,n_nan_adultos,pct_nan_adultos,codigo_nan_doc,etiqueta_nan_doc,interpretacion_nan
SUNTNOFND2,46855,99.061,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTNOOPN2,46868,99.089,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTPROBS2,46845,99.04,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTTIME2,46844,99.038,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTPRIV2,46844,99.038,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTPTHNK2,46835,99.019,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTCONSQ2,46843,99.036,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTSTART2,46843,99.036,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTQUIT2,46843,99.036,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTHNDL2,46842,99.034,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTFFLKE2,46840,99.03,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTFORCE2,46845,99.04,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTNOHLP2,46854,99.059,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
SUNTCARE2,46847,99.044,.,Unknwn/Rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
GRSKCIGPKD,555,1.173,.,Unknown (Otherwise),Salto legítimo o no aplicable
GRSKMRJMON,671,1.419,.,Unknown (Otherwise),Salto legítimo o no aplicable
GRSKMRJWK,694,1.467,.,Unknown (Otherwise),Salto legítimo o no aplicable
GRSKCOCMON,816,1.725,.,Unknown (Otherwise),Salto legítimo o no aplicable
GRSKCOCWK,796,1.683,.,Unknown (Otherwise),Salto legítimo o no aplicable
GRSKHERTRY,817,1.727,.,Unknown (Otherwise),Salto legítimo o no aplicable
GRSKHERWK,778,1.645,.,Unknown (Otherwise),Salto legítimo o no aplicable
GRSKLSDTRY,1026,2.169,.,Unknown (Otherwise),Salto legítimo o no aplicable
GRSKLSDWK,1055,2.23,.,Unknown (Otherwise),Salto legítimo o no aplicable
GRSKBNGDLY,598,1.264,.,Unknown (Otherwise),Salto legítimo o no aplicable
GRSKBNGWK,614,1.298,.,Unknown (Otherwise),Salto legítimo o no aplicable
DIFOBTMRJ,1022,2.161,.,Unknown (Otherwise),Salto legítimo o no aplicable
DIFOBTCOC,1533,3.241,.,Unknown (Otherwise),Salto legítimo o no aplicable
DIFOBTCRK,1580,3.34,.,Unknown (Otherwise),Salto legítimo o no aplicable
DIFOBTHER,1596,3.374,.,Unknown (Otherwise),Salto legítimo o no aplicable
DIFOBTLSD,1672,3.535,.,Unknown (Otherwise),Salto legítimo o no aplicable
APPDRGMON2,378,0.799,.,Unknown (Otherwise),Salto legítimo o no aplicable
AGADSCED,1641,3.469,.,Aged 12-17 or missing,Salto legítimo o no aplicable
KSSLR6MONED,1478,3.125,.,Aged 12-17 or missing,Salto legítimo o no aplicable
KSSLR6YRED,31991,67.636,.,"Aged 12-17, missing, or DSTWORST in (2,85,94,97,98)",Salto legítimo o no aplicable
WHODASSCED,1360,2.875,.,Aged 12-17 or missing,Salto legítimo o no aplicable
WHODASDAED,1360,2.875,.,Aged 12-17 or missing,Salto legítimo o no aplicable
KSSLR6YR,31486,66.568,.,Aged 12-17 or IRDSTWORST=2,Salto legítimo o no aplicable
ASDSHOM2,42283,89.395,.,Aged 12-17/Unkn/Legit Skip (Otherwise),Salto legítimo o no aplicable
ASDSWRK2,42289,89.408,.,Aged 12-17/Unkn/Legit Skip (Otherwise),Salto legítimo o no aplicable
ASDSREL2,42275,89.378,.,Aged 12-17/Unkn/Legit Skip (Otherwise),Salto legítimo o no aplicable
ASDSSOC2,42273,89.374,.,Aged 12-17/Unkn/Legit Skip (Otherwise),Salto legítimo o no aplicable
AMDEIMP,1682,3.556,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable
ATXMDEYR,38007,80.355,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable
ARXMDEYR,38007,80.355,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable
AMDETXRX,38006,80.353,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable
ADOCMDE,38017,80.376,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable
AOMDMDE,38017,80.376,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable
APSY1MDE,38017,80.376,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable
APSY2MDE,38017,80.376,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable
ASOCMDE,38017,80.376,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable
ACOUNMDE,38017,80.376,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable
AOMHMDE,38017,80.376,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable
ANURSMDE,38017,80.376,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable
ARELMDE,38017,80.376,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable
AHBCHMDE,38017,80.376,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable
AHLTMDE,38017,80.376,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable
AALTMDE,38017,80.376,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable
MHTNSEEKPY2,13217,27.944,.,Unknown/received MH treatment (Otherwise),Salto legítimo o no aplicable
MHTSKTHPY2,13227,27.965,.,Unknown/received MH treatment (Otherwise),Salto legítimo o no aplicable
MHNTCOST2,44831,94.782,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTINSCV2,44991,95.12,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTENFCV2,45093,95.336,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTWHER2,44826,94.772,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTNOFND2,44914,94.958,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTNOOPN2,44963,95.061,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTPROBS2,44855,94.833,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTTIME2,44850,94.822,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTPRIV2,44846,94.814,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTPTHNK2,44828,94.776,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTCONSQ2,44845,94.812,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTSTART2,44874,94.873,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTHNDL2,44837,94.795,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTFFLKE2,44854,94.831,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTFORCE2,44844,94.81,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTMEDS2,44854,94.831,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTNOHLP2,44882,94.89,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
MHNTCARE2,44855,94.833,.,Unknwn/rcvd trt/no sought&no thght shld get trt (Otherwise),Salto legítimo o no aplicable
PREGST,382,0.808,.,Unknown (Otherwise),Salto legítimo o no aplicable
BMI2,2250,4.757,.,Unknown (See comment above),No respuesta o ausencia
TELEAPTYR2,1027,2.171,.,Not Applicable/Unknown (Otherwise),Salto legítimo o no aplicable
CASUPROB2,1585,3.351,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable
RCVYSUBPRB,1597,3.376,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable
CAMHPROB2,1562,3.302,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable
RCVYMHPRB,1677,3.546,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable
IMFNEDFLAG,26,0.055,.,Unknown (Otherwise),Salto legítimo o no aplicable
ANYNEDFLAG,275,0.581,.,Unknown (Otherwise),Salto legítimo o no aplicable
ANYNEDYR,267,0.564,.,Unknown (Otherwise),Salto legítimo o no aplicable
GQTYPE2,47065,99.505,,Not a Group Quarter,Categoría válida vacía
