variable,tipo,n_presentes,n_unicos,n_nan,pct_nan
HALFQFLG,int64,47299,2,0,0.0
HALLEASWY,int64,47299,10,0,0.0
HALLDYSYR,int64,47299,40,0,0.0
HALLDYPMO,int64,47299,24,0,0.0
HALLDYPWK,int64,47299,14,0,0.0
HALLUC30N,int64,47299,24,0,0.0
HALLUC30E,int64,47299,6,0,0.0
LSDAGE,int64,47299,55,0,0.0
LSDYFU,int64,47299,10,0,0.0
LSDMFU,int64,47299,19,0,0.0
LSDREC,int64,47299,10,0,0.0
PCPAGE,int64,47299,43,0,0.0
PCPYFU,int64,47299,9,0,0.0
PCPMFU,int64,47299,12,0,0.0
PCPREC,int64,47299,10,0,0.0
PSILCYREC,int64,47299,10,0,0.0
ECSTMOAGE,int64,47299,57,0,0.0
ECSTMOYFU,int64,47299,10,0,0.0
ECSTMOMFU,int64,47299,19,0,0.0
ECSTMOREC,int64,47299,9,0,0.0
KETMINREC,int64,47299,9,0,0.0
DAMTFXREC,int64,47299,9,0,0.0
SALVIAREC,int64,47299,9,0,0.0
AMYLNIT3,int64,47299,7,0,0.0
CLEFLU3,int64,47299,7,0,0.0
GAS3,int64,47299,7,0,0.0
GLUE3,int64,47299,7,0,0.0
ETHER3,int64,47299,7,0,0.0
SOLVENT3,int64,47299,6,0,0.0
LGAS3,int64,47299,6,0,0.0
NITOXID3,int64,47299,7,0,0.0
FELTMARKR3,int64,47299,7,0,0.0
SPPAINT3,int64,47299,6,0,0.0
AIRDUSTER3,int64,47299,6,0,0.0
OTHAEROS3,int64,47299,7,0,0.0
INHALOTH2,int64,47299,6,0,0.0
INHALEVER2,int64,47299,4,0,0.0
INHALAGE2,int64,47299,58,0,0.0
INHALYFU2,int64,47299,10,0,0.0
INHALMFU2,int64,47299,19,0,0.0
INHALREC2,int64,47299,9,0,0.0
INHALYFQ2,int64,47299,57,0,0.0
INHTOTFG2,int64,47299,2,0,0.0
INHFQFLG2,int64,47299,2,0,0.0
INHEASWY2,int64,47299,12,0,0.0
INHDYSYR2,int64,47299,35,0,0.0
INHDYPMO2,int64,47299,21,0,0.0
INHDYPWK2,int64,47299,14,0,0.0
INHAL30N2,int64,47299,26,0,0.0
INHAL30ES2,int64,47299,6,0,0.0
METHAMEVR,int64,47299,4,0,0.0
METHAMAGE,int64,47299,65,0,0.0
METHAMYFU,int64,47299,10,0,0.0
METHAMMFU,int64,47299,19,0,0.0
METHAMREC,int64,47299,8,0,0.0
METHAMYFQ,int64,47299,82,0,0.0
METOTFG,int64,47299,2,0,0.0
MEFQFLG,int64,47299,2,0,0.0
METHEASWY,int64,47299,11,0,0.0
METHDYSYR,int64,47299,49,0,0.0
METHDYPMO,int64,47299,31,0,0.0
METHDYPWK,int64,47299,14,0,0.0
METHAM30N,int64,47299,34,0,0.0
METHAM30E,int64,47299,7,0,0.0
OXCNANYYR2,int64,47299,11,0,0.0
PNRANYLIF2,int64,47299,7,0,0.0
PNRANYREC2,int64,47299,7,0,0.0
FENTANYYR2,float64,47208,2,91,0.192
PNRNMLIF,int64,47299,8,0,0.0
OXCNNMYR,int64,47299,8,0,0.0
OXCNNMAGE,int64,47299,44,0,0.0
OXCNNMYFU,int64,47299,10,0,0.0
OXCNNMMFU,int64,47299,16,0,0.0
PNRNMREC,int64,47299,8,0,0.0
PNRNMINIT,int64,47299,9,0,0.0
PNRNMAGE,int64,47299,58,0,0.0
PNRNMYFU,int64,47299,6,0,0.0
PNRNMMFU,int64,47299,16,0,0.0
PNRNM30D,int64,47299,10,0,0.0
PNRNM30FQ,int64,47299,31,0,0.0
PNRNM30ES,int64,47299,7,0,0.0
PNRNM30AL,int64,47299,7,0,0.0
PNRWYNORX,int64,47299,9,0,0.0
PNRWYGAMT,int64,47299,9,0,0.0
PNRWYOFTN,int64,47299,8,0,0.0
PNRWYLNGR,int64,47299,8,0,0.0
PNRWYOTWY,int64,47299,9,0,0.0
PNRNMLAS1,int64,47299,36,0,0.0
PNRRSPAIN,int64,47299,10,0,0.0
PNRRSRELX,int64,47299,10,0,0.0
PNRRSEXPT,int64,47299,9,0,0.0
PNRRSHIGH,int64,47299,9,0,0.0
PNRRSSLEP,int64,47299,8,0,0.0
PNRRSEMOT,int64,47299,8,0,0.0
PNRRSDGFX,int64,47299,9,0,0.0
PNRRSHOOK,int64,47299,8,0,0.0
PNRRSSOR,int64,47299,8,0,0.0
PNRRSOTRS2,int64,47299,18,0,0.0
PNRRSMAIN,int64,47299,16,0,0.0
PNRNORXFG,int64,47299,2,0,0.0
FENTNMYR,float64,47280,2,19,0.04
TRQANYLIF,int64,47299,6,0,0.0
TRQANYREC,int64,47299,6,0,0.0
TRBZOANYYR,float64,47163,2,136,0.288
TRQNMLIF,int64,47299,8,0,0.0
TRQNMREC,int64,47299,8,0,0.0
TRQNMINIT,int64,47299,8,0,0.0
TRQNMAGE,int64,47299,46,0,0.0
TRQNMYFU,int64,47299,6,0,0.0
TRQNMMFU,int64,47299,16,0,0.0
TRQNM30D,int64,47299,9,0,0.0
TRQNM30FQ,int64,47299,27,0,0.0
TRQNM30ES,int64,47299,6,0,0.0
TRQNM30AL,int64,47299,7,0,0.0
TRQWYNORX,int64,47299,8,0,0.0
TRQWYGAMT,int64,47299,7,0,0.0
TRQWYOFTN,int64,47299,7,0,0.0
TRQWYLNGR,int64,47299,7,0,0.0
TRQWYOTWY,int64,47299,8,0,0.0
TRQNMLAS1,int64,47299,20,0,0.0
TRQRSRELX,int64,47299,9,0,0.0
TRQRSEXPT,int64,47299,9,0,0.0
TRQRSHIGH,int64,47299,9,0,0.0
TRQRSSLEP,int64,47299,8,0,0.0
TRQRSEMOT,int64,47299,7,0,0.0
TRQRSDGFX,int64,47299,7,0,0.0
TRQRSHOOK,int64,47299,7,0,0.0
TRQRSSOR,int64,47299,7,0,0.0
TRQRSOTRS2,int64,47299,17,0,0.0
TRQRSMAIN,int64,47299,15,0,0.0
TRQNORXFG,int64,47299,2,0,0.0
TRBZONMYR,float64,47162,2,137,0.29
STMANYLIF,int64,47299,6,0,0.0
STMANYREC,int64,47299,6,0,0.0
STMNMLIF,int64,47299,8,0,0.0
STMNMREC,int64,47299,8,0,0.0
STMNMINIT,int64,47299,7,0,0.0
STMNMAGE,int64,47299,33,0,0.0
STMNMYFU,int64,47299,6,0,0.0
STMNMMFU,int64,47299,16,0,0.0
STMNM30D,int64,47299,9,0,0.0
STMNM30FQ,int64,47299,28,0,0.0
STMNM30ES,int64,47299,6,0,0.0
STMNM30AL,int64,47299,7,0,0.0
STMWYNORX,int64,47299,8,0,0.0
STMWYGAMT,int64,47299,8,0,0.0
STMWYOFTN,int64,47299,8,0,0.0
STMWYLNGR,int64,47299,7,0,0.0
STMWYOTWY,int64,47299,9,0,0.0
STMNDLYR,int64,47299,7,0,0.0
STMNDLREC,int64,47299,8,0,0.0
STMNMLAS1,int64,47299,27,0,0.0
STMRSWGHT,int64,47299,7,0,0.0
STMRSCONC,int64,47299,9,0,0.0
STMRSALRT,int64,47299,7,0,0.0
STMRSSTDY,int64,47299,6,0,0.0
STMRSEXPT,int64,47299,7,0,0.0
STMRSHIGH,int64,47299,7,0,0.0
STMRSDGFX,int64,47299,7,0,0.0
STMRSHOOK,int64,47299,7,0,0.0
