variable,tipo,n_presentes,n_unicos,n_nan,pct_nan
MKMBGHTJNT,int64,47299,9,0,0.0
MKMBGHTLOO,int64,47299,9,0,0.0
MKMBGHTVAPE,int64,47299,9,0,0.0
MKMBGHTDAB,int64,47299,9,0,0.0
MKMBGHTEDBLE,int64,47299,9,0,0.0
MKMBGHTDRPS,int64,47299,9,0,0.0
MKMBGHTLTN,int64,47299,9,0,0.0
MKMBGHTPILL,int64,47299,9,0,0.0
MKMBGHTOTH,int64,47299,9,0,0.0
MKMLOOGMCOM2,int64,47299,12,0,0.0
MKMLOOOUNCE,int64,47299,13,0,0.0
MKMSELLMRJ,int64,47299,8,0,0.0
BLNTEVER,int64,47299,8,0,0.0
BLNTAGE,int64,47299,74,0,0.0
BLNTYFU,int64,47299,11,0,0.0
BLNTMFU,int64,47299,20,0,0.0
BLNTREC,int64,47299,11,0,0.0
BLRECFL2,int64,47299,2,0,0.0
BLNT30DY,int64,47299,35,0,0.0
BLNT30C1,int64,47299,5,0,0.0
BLNT30C2,int64,47299,5,0,0.0
RSNOMRJ,int64,47299,5,0,0.0
RSNMRJMO,int64,47299,6,0,0.0
BLNTNOMJ,int64,47299,8,0,0.0
COCEVER,int64,47299,5,0,0.0
COCAGE,int64,47299,60,0,0.0
COCYFU,int64,47299,10,0,0.0
COCMFU,int64,47299,19,0,0.0
COCREC,int64,47299,11,0,0.0
COCYRTOT,int64,47299,77,0,0.0
CCTOTFG,int64,47299,2,0,0.0
CCFQFLG,int64,47299,2,0,0.0
CCBSTWAY,int64,47299,13,0,0.0
CCDAYPYR,int64,47299,44,0,0.0
CCDAYPMO,int64,47299,26,0,0.0
CCDAYPWK,int64,47299,15,0,0.0
COCUS30A,int64,47299,31,0,0.0
CC30EST,int64,47299,6,0,0.0
CRKEVER,int64,47299,7,0,0.0
CRKAGE,int64,47299,54,0,0.0
CRKYFU,int64,47299,10,0,0.0
CRKMFU,int64,47299,18,0,0.0
CRAKREC,int64,47299,9,0,0.0
CRKYRTOT,int64,47299,54,0,0.0
CRTOTFG,int64,47299,2,0,0.0
CRFQFLG,int64,47299,2,0,0.0
CRBSTWAY,int64,47299,9,0,0.0
CRDAYPYR,int64,47299,29,0,0.0
CRDAYPMO,int64,47299,24,0,0.0
CRDAYPWK,int64,47299,13,0,0.0
CRKUS30A,int64,47299,23,0,0.0
CR30EST,int64,47299,5,0,0.0
HEREVER,int64,47299,5,0,0.0
HERAGE,int64,47299,53,0,0.0
HERYFU,int64,47299,10,0,0.0
HERMFU,int64,47299,15,0,0.0
HERREC,int64,47299,9,0,0.0
HERYRTOT,int64,47299,48,0,0.0
HRTOTFG,int64,47299,3,0,0.0
HRFQFLG,int64,47299,2,0,0.0
HRBSTWAY,int64,47299,8,0,0.0
HRDAYPYR,int64,47299,26,0,0.0
HRDAYPMO,int64,47299,21,0,0.0
HRDAYPWK,int64,47299,14,0,0.0
HER30USE,int64,47299,21,0,0.0
HR30EST,int64,47299,6,0,0.0
LSD,int64,47299,7,0,0.0
PCP,int64,47299,6,0,0.0
PEYOTE,int64,47299,6,0,0.0
MESC,int64,47299,7,0,0.0
PSILCY,int64,47299,7,0,0.0
ECSTMOLLY,int64,47299,7,0,0.0
KETMINESK,int64,47299,7,0,0.0
DMTAMTFXY,int64,47299,7,0,0.0
SALVIADIV,int64,47299,6,0,0.0
HALLUCOTH,int64,47299,7,0,0.0
HALLUCOT1,int64,47299,125,0,0.0
HALLUCOT2,int64,47299,65,0,0.0
HALLUCOT3,int64,47299,39,0,0.0
HALLUCOT4,int64,47299,21,0,0.0
HALLUCOT5,int64,47299,17,0,0.0
HALLUCEVR,int64,47299,3,0,0.0
HALLUCAGE,int64,47299,70,0,0.0
HALLUCYFU,int64,47299,10,0,0.0
HALLUCMFU,int64,47299,19,0,0.0
HALLUCREC,int64,47299,11,0,0.0
HALLUCYFQ,int64,47299,70,0,0.0
HALTOTFG,int64,47299,2,0,0.0
