variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
CIGROLL30,SMOKED A ROLL-YOUR-OWN CIGARETTE IN THE PAST 30 DAYS,NICOTINE,Original u otra,99.951,Excluir de variables de entrada
CIGDLYMO,EVER SMOKED CIG EVERY DAY FOR 30 DAYS,NICOTINE,Original u otra,92.803,Excluir de variables de entrada
CIGAGE,AGE WHEN FIRST STARTED SMOKING CIGARETTES EVERYDAY,NICOTINE,Original u otra,74.752,Excluir de variables de entrada
CIGDLYFU,YEAR OF FIRST CIGARETTE USE EVERY DAY - RECODE,NICOTINE,Original u otra,49.016,Excluir de variables de entrada
CIGDLMFU,MONTH OF FIRST CIGARETTE USE EVERY DAY - RECODE,NICOTINE,Original u otra,49.012,Excluir de variables de entrada
CIG100LF,HAVE YOU SMOKED 100 CIGS IN YOUR LIFE,NICOTINE,Original u otra,93.917,Excluir de variables de entrada
NICVAPEVER,EVER VAPED NICOTINE WITH E-CIGARETTE OR OTHER VAPING DEVICE,NICOTINE,Original u otra,99.973,Excluir de variables de entrada
NICVAPAGE,AGE WHEN FIRST VAPED NICOTINE WITH E-CIG OR VAPING DEVICE,NICOTINE,Original u otra,99.404,Excluir de variables de entrada
NICVAPYFU,YEAR FIRST VAPED NICOTINE W/ E-CIG OR VAPE DEVICE - RECODE,NICOTINE,Original u otra,68.452,Excluir de variables de entrada
NICVAPMFU,MONTH FIRST VAPED NICOTINE W/ E-CIG OR VAPE DEVICE - RECODE,NICOTINE,Original u otra,68.3,Excluir de variables de entrada
NICVAPREC,TIME SINCE LAST VAPED NICOTINE WITH E-CIG OR VAPING DEVICE,NICOTINE,Original u otra,99.943,Excluir de variables de entrada
NICVAP30N,# DAYS VAPED NICOTINE W/ E-CIG OR VAP DEVICE IN PAST 30 DAYS,NICOTINE,Original u otra,99.846,Excluir de variables de entrada
SMKLSSEVR,EVER USED SMOKELESS TOBACCO,NICOTINE,Original u otra,99.964,Excluir de variables de entrada
SMKLSSTRY,AGE WHEN FIRST USED SMOKELESS TOBACCO,NICOTINE,Original u otra,99.808,Excluir de variables de entrada
