variable,modulo,tipo_version,tipo_variable,n_unicos,n_nan,pct_nan,pct_dominante,n_ausencia_documental,tipos_ausencia,pct_ausencia_documental
RXMTHPMIS,RECODED DRUG USE,Recodificada,Binaria,2,2,0.004,99.729,0,Sin ausencia documental observada,0.0
RXOPPRNMMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.245,0,Sin ausencia documental observada,0.0
RXOXCOANY2,RECODED DRUG USE,Recodificada,Binaria,2,84,0.178,92.712,0,Sin ausencia documental observada,0.0
RXOXCOMIS,RECODED DRUG USE,Recodificada,Binaria,2,18,0.038,98.975,0,Sin ausencia documental observada,0.0
RXOXYMANY2,RECODED DRUG USE,Recodificada,Binaria,2,85,0.18,99.457,0,Sin ausencia documental observada,0.0
RXOXYMMIS,RECODED DRUG USE,Recodificada,Binaria,2,11,0.023,99.92,0,Sin ausencia documental observada,0.0
RXPROVANY,RECODED DRUG USE,Recodificada,Binaria,2,25,0.053,99.786,0,Sin ausencia documental observada,0.0
RXPROVMIS,RECODED DRUG USE,Recodificada,Binaria,2,1,0.002,99.973,0,Sin ausencia documental observada,0.0
RXSOMAANY,RECODED DRUG USE,Recodificada,Binaria,2,46,0.097,99.712,0,Sin ausencia documental observada,0.0
RXSOMAMIS,RECODED DRUG USE,Recodificada,Binaria,2,8,0.017,99.96,0,Sin ausencia documental observada,0.0
RXTEMAANY,RECODED DRUG USE,Recodificada,Binaria,2,17,0.036,99.71,0,Sin ausencia documental observada,0.0
RXTRAMANY2,RECODED DRUG USE,Recodificada,Binaria,2,95,0.201,95.218,0,Sin ausencia documental observada,0.0
RXTRAMMIS,RECODED DRUG USE,Recodificada,Binaria,2,22,0.047,99.537,0,Sin ausencia documental observada,0.0
RXTRIAANY,RECODED DRUG USE,Recodificada,Binaria,2,17,0.036,99.704,0,Sin ausencia documental observada,0.0
RXZALEANY,RECODED DRUG USE,Recodificada,Binaria,2,23,0.049,99.856,0,Sin ausencia documental observada,0.0
RXZOHYANY2,RECODED DRUG USE,Recodificada,Binaria,2,80,0.169,99.666,0,Sin ausencia documental observada,0.0
RXZOHYMIS,RECODED DRUG USE,Recodificada,Binaria,2,10,0.021,99.964,0,Sin ausencia documental observada,0.0
RXZOLPANY,RECODED DRUG USE,Recodificada,Binaria,2,21,0.044,98.201,0,Sin ausencia documental observada,0.0
RXZOLPMIS,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.814,0,Sin ausencia documental observada,0.0
SALVIAFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,97.638,0,Sin ausencia documental observada,0.0
SALVIAMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.983,0,Sin ausencia documental observada,0.0
SALVIAYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.964,0,Sin ausencia documental observada,0.0
SEDANYFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,89.704,0,Sin ausencia documental observada,0.0
SEDANYYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,95.759,0,Sin ausencia documental observada,0.0
SEDMAINRSN,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,7,254,0.537,99.159,254,No respuesta o ausencia,0.537
