variable,nombre,modulo,tipo_version,n_unicos,pct_nan,tipo_entrada
RXMTHPMIS,RC-METHYLPHENIDATE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.004,Categórica
RXANORMIS,RC-ANORECTIC STIMULANTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.002,Categórica
RXPROVMIS,RC-PROVIGIL PRODUCTS- PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.002,Categórica
OTHRSTMMIS,RC-OTHER STIMULANT PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.025,Categórica
RXZOLPMIS,RC-ZOLPIDEM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
RXESZOMIS,RC-ESZOPICLONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.002,Categórica
OTHRSEDMIS2,RC-OTHER SEDATIVE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.034,Categórica
RXBZOSMIS,RC-BENZODIAZEPINE SEDATIVES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.002,Categórica
RXBARBMIS,RC-BARBITURATES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.004,Categórica
ALCYDAYS,RC-# OF DAYS USED ALCOHOL IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0,Categórica
MRJYDAYS,RC-# OF DAYS USED MARIJUANA IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0,Categórica
COCYDAYS,RC-# OF DAYS USED COCAINE IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0,Categórica
CRKYDAYS,RC-# OF DAYS USED CRACK IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0,Categórica
HERYDAYS,RC-# OF DAYS USED HEROIN IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0,Categórica
HALLNDAYYR,RC-# OF DAYS USED HALLUCINOGENS IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0,Categórica
INHNDAYYR2,RC-# OF DAYS USED INHALANTS IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0,Categórica
METHNDAYYR,RC-# OF DAYS USED METHAMPHETAMINE IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0,Categórica
CIGMDAYS,RC-# OF DAYS USED CIGARETTES IN PAST MONTH,RECODED DRUG USE,Recodificada,6,0.0,Categórica
CGRMDAYS,RC-# OF DAYS USED CIGARS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
SMKLSMDAYS,RC-# OF DAYS USED SMOKELESS TOBACCO IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
NICVPMDAYS,RC-# OF DAYS VAPED NICOTINE IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
ALCMDAYS,RC-# OF DAYS USED ALCOHOL IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
MRJMDAYS,RC-# OF DAYS USED MARIJUANA IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
COCMDAYS,RC-# OF DAYS USED COCAINE IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
CRKMDAYS,RC-# OF DAYS USED CRACK IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
HERMDAYS,RC-# OF DAYS USED HEROIN IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
HALLNDAYPM,RC-# OF DAYS USED HALLUCINOGENS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
INHNDAYPM2,RC-# OF DAYS USED INHALANTS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
METHNDAYPM,RC-# OF DAYS USED METHAMPHETAMINE IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
PNRNDAYPM,RC-# OF DAYS MISUSED PAIN RELIEVERS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
TRQNDAYPM,RC-# OF DAYS MISUSED TRANQUILIZERS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
STMNDAYPM,RC-# OF DAYS MISUSED STIMULANTS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
SEDNDAYPM,RC-# OF DAYS MISUSED SEDATIVES IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
BNGDRMDAYS,RC-# OF DAYS BINGE USED ALCOHOL IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0,Categórica
CIGPDAY,RC-# OF CIGARETTES SMOKED PER DAY AMONG DAILY SMOKERS,RECODED DRUG USE,Recodificada,6,0.0,Categórica
