clave_modelo,candidato,estrategia,target,descripcion,umbral,average_precision,roc_auc,recall,precision,f1,f2,balanced_accuracy,specificity,accuracy,true_negatives,false_positives,false_negatives,true_positives
multisalida_bce_adam,Red multisalida — BCE + Adam,bce_adam,IRSUICTHNK,Ideación suicida,0.5,0.2823654330686255,0.8092094837105697,0.23090586145648312,0.38461538461538464,0.2885682574916759,0.25096525096525096,0.6006063925412323,0.9703069236259815,0.9153012684989429,6797,208,433,130
multisalida_bce_adam,Red multisalida — BCE + Adam,bce_adam,IRSUIPLANYR,Planificación suicida,0.5,0.16108347079194785,0.8523538812146536,0.3448275862068966,0.16483516483516483,0.22304832713754646,0.2830188679245283,0.6518565845559774,0.9588855829050582,0.9447674418604651,7090,304,114,60
multisalida_bce_adam,Red multisalida — BCE + Adam,bce_adam,IRSUITRYYR,Intento suicida,0.5,0.11528899290813004,0.8690889771194421,0.39285714285714285,0.10509554140127389,0.1658291457286432,0.25384615384615383,0.6776551882110406,0.9624532335649385,0.9561310782241015,7203,281,51,33
multisalida_bce_adamw,Red multisalida — BCE + AdamW,bce_adamw,IRAMDEYR,Episodio depresivo mayor,0.5,0.48762967025637743,0.8842085007121596,0.40789473684210525,0.508955223880597,0.45285524568393093,0.4247633283507723,0.6795118366325796,0.9511289364230541,0.8911205073995772,6403,329,495,341
multisalida_bce_adamw,Red multisalida — BCE + AdamW,bce_adamw,IRSUICTHNK,Ideación suicida,0.5,0.28459085795305156,0.8038290335626798,0.26287744227353466,0.3583535108958838,0.30327868852459017,0.2776735459662289,0.612523660465818,0.9621698786581013,0.9101479915433404,6740,265,415,148
multisalida_bce_adamw,Red multisalida — BCE + AdamW,bce_adamw,IRSUIPLANYR,Planificación suicida,0.5,0.14448432887592233,0.8449441765457547,0.23563218390804597,0.18552036199095023,0.20759493670886076,0.22355507088331517,0.605644060577231,0.975655937246416,0.9586416490486258,7214,180,133,41
multisalida_bce_adamw,Red multisalida — BCE + AdamW,bce_adamw,IRSUITRYYR,Intento suicida,0.5,0.11108819828741331,0.84935163268942,0.16666666666666666,0.1590909090909091,0.16279069767441862,0.1650943396226415,0.5783894530554071,0.9901122394441475,0.9809725158562368,7410,74,70,14
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,bce_tareas,IRAMDEYR,Episodio depresivo mayor,0.5,0.41618392481214184,0.8601671620511333,0.7667464114832536,0.3384371700105597,0.4695970695970696,0.6118747613592974,0.7903102229727617,0.8138740344622698,0.8086680761099366,5479,1253,195,641
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,bce_tareas,IRSUICTHNK,Ideación suicida,0.5,0.27371100838182544,0.8079026272784094,0.6305506216696269,0.23022049286640725,0.33729216152019004,0.46784396415392726,0.730550114546448,0.8305496074232691,0.8156712473572939,5818,1187,208,355
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,bce_tareas,IRSUIPLANYR,Planificación suicida,0.5,0.15344596328122237,0.8536076159918418,0.6551724137931034,0.1016949152542373,0.17606177606177606,0.31370390753990096,0.7594904535830542,0.8638084933730051,0.8590116279069767,6387,1007,60,114
