clave_modelo,candidato,target,descripcion,umbral,recall,precision,f1,f2,balanced_accuracy,accuracy,specificity,youden,true_negatives,false_positives,false_negatives,true_positives
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.067,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.068,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.069,1.0,0.11052353252247488,0.19904761904761903,0.38320498716538326,0.5002970885323826,0.1109936575052854,0.0005941770647653001,0.0005941770647652778,4,6728,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.07,1.0,0.11053814623826524,0.1990713180140493,0.38324012102319616,0.5003713606654783,0.11112579281183932,0.0007427213309566251,0.0007427213309565417,5,6727,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.071,1.0,0.11053814623826524,0.1990713180140493,0.38324012102319616,0.5003713606654783,0.11112579281183932,0.0007427213309566251,0.0007427213309565417,5,6727,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.072,1.0,0.11053814623826524,0.1990713180140493,0.38324012102319616,0.5003713606654783,0.11112579281183932,0.0007427213309566251,0.0007427213309565417,5,6727,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.073,1.0,0.11053814623826524,0.1990713180140493,0.38324012102319616,0.5003713606654783,0.11112579281183932,0.0007427213309566251,0.0007427213309565417,5,6727,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.074,1.0,0.11053814623826524,0.1990713180140493,0.38324012102319616,0.5003713606654783,0.11112579281183932,0.0007427213309566251,0.0007427213309565417,5,6727,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.075,1.0,0.11053814623826524,0.1990713180140493,0.38324012102319616,0.5003713606654783,0.11112579281183932,0.0007427213309566251,0.0007427213309565417,5,6727,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.076,1.0,0.11053814623826524,0.1990713180140493,0.38324012102319616,0.5003713606654783,0.11112579281183932,0.0007427213309566251,0.0007427213309565417,5,6727,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.077,1.0,0.11055276381909548,0.1990950226244344,0.3832752613240418,0.500445632798574,0.11125792811839323,0.00089126559714795,0.0008912655971480277,6,6726,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.078,1.0,0.11055276381909548,0.1990950226244344,0.3832752613240418,0.500445632798574,0.11125792811839323,0.00089126559714795,0.0008912655971480277,6,6726,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.079,1.0,0.11055276381909548,0.1990950226244344,0.3832752613240418,0.500445632798574,0.11125792811839323,0.00089126559714795,0.0008912655971480277,6,6726,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.08,1.0,0.11056738526649915,0.19911873288079077,0.3833104080696928,0.5005199049316696,0.11139006342494714,0.0010398098633392751,0.0010398098633392916,7,6725,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.081,1.0,0.11058201058201059,0.1991424487851358,0.38334556126192226,0.5005941770647653,0.11152219873150106,0.0011883541295306002,0.0011883541295305555,8,6724,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.082,1.0,0.11061127282349828,0.1991898975458661,0.3834158869932123,0.5007427213309567,0.11178646934460888,0.0014854426619132501,0.0014854426619133054,10,6722,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.083,1.0,0.11064055055584966,0.19923736892278363,0.38348623853211017,0.5008912655971479,0.11205073995771671,0.0017825311942959,0.0017825311942958333,12,6720,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.084,1.0,0.11069915254237288,0.19933237958989034,0.38362701908957414,0.5011883541295306,0.11257928118393234,0.0023767082590612004,0.002376708259061111,16,6716,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.085,1.0,0.11072847682119205,0.19937991891247317,0.38369744813658896,0.5013368983957219,0.11284355179704017,0.00267379679144385,0.002673796791443861,18,6714,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.086,1.0,0.11075781664016958,0.19942748091603055,0.38376790304810865,0.5014854426619133,0.113107822410148,0.0029708853238265003,0.002970885323826611,20,6712,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.087,1.0,0.11077249238107857,0.19945127042824762,0.38380314020751083,0.5015597147950089,0.11323995771670191,0.0031194295900178253,0.003119429590017875,21,6711,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.088,1.0,0.11077249238107857,0.19945127042824762,0.38380314020751083,0.5015597147950089,0.11323995771670191,0.0031194295900178253,0.003119429590017875,21,6711,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.089,1.0,0.11080185553346587,0.19949886648371318,0.38387363394251073,0.5017082590612002,0.11350422832980972,0.0034165181224004755,0.0034165181224004026,23,6709,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.09,1.0,0.11081654294803818,0.19952267303102628,0.38390889052167526,0.5017825311942959,0.11363636363636363,0.0035650623885918,0.0035650623885918886,24,6708,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.091,1.0,0.11081654294803818,0.19952267303102628,0.38390889052167526,0.5017825311942959,0.11363636363636363,0.0035650623885918,0.0035650623885918886,24,6708,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.092,1.0,0.11081654294803818,0.19952267303102628,0.38390889052167526,0.5017825311942959,0.11363636363636363,0.0035650623885918,0.0035650623885918886,24,6708,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.093,1.0,0.11081654294803818,0.19952267303102628,0.38390889052167526,0.5017825311942959,0.11363636363636363,0.0035650623885918,0.0035650623885918886,24,6708,0,836
